age;marital;address;income;inccat;car;carcat;ed;employ;retire;empcat;jobsat;gender;reside;wireless;multline;voice;pager;internet;callid;callwait;owntv;ownvcr;owncd;ownpda;ownpc;ownfax;news;response
31;Marrié(e);9;40;$25 - $49;21,3;Standard;Bac +3/4;0;Non;Moins de 2;Insatistait;Femme;4;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non
42;Non marrié(e);8;137;$75 - $124;68,9;Luxe;Bac +2;3;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui
35;Non marrié(e);8;70;$50 - $74;34,1;Luxe;Bac +2;9;Non;2 à 5;Satisfait;Homme;3;Non;Non;Non;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
52;Marrié(e);24;159;$75 - $124;78,9;Luxe;Bac +3/4;16;Non;6 à 10;Très satisfait;Homme;2;Oui;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
21;Marrié(e);1;37;$25 - $49;18,6;Standard;Bac +2;0;Non;Moins de 2;Très insatisfait;Homme;7;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
32;Non marrié(e);0;28;$25 - $49;13,7;Economique;Inf au Bac;2;Non;Moins de 2;Satisfait;Femme;2;Non;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non
42;Non marrié(e);9;109;$75 - $124;54,7;Luxe;Bac +2;20;Non;6 à 10;Neutre;Femme;1;Oui;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
40;Marrié(e);12;117;$75 - $124;58,3;Luxe;Niveau Bac;19;Non;6 à 10;Très satisfait;Femme;4;Oui;Oui;Oui;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
30;Non marrié(e);3;23;Inf à $25;11,8;Economique;Inf au Bac;3;Non;Moins de 2;Neutre;Homme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non
48;Non marrié(e);14;21;Inf à $25;9,5;Economique;Bac +2;2;Non;Moins de 2;Neutre;Homme;1;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
39;Marrié(e);17;17;Inf à $25;8,5;Economique;Bac +3/4;2;Non;Moins de 2;Neutre;Homme;5;Oui;Oui;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
42;Marrié(e);5;34;$25 - $49;16,6;Standard;Niveau Bac;13;Non;2 à 5;Neutre;Femme;4;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
45;Marrié(e);12;115;$75 - $124;57,4;Luxe;Inf au Bac;27;Non;6 à 10;Satisfait;Femme;5;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
51;Marrié(e);10;47;$25 - $49;23;Standard;Inf au Bac;9;Non;2 à 5;Neutre;Homme;3;Non;Non;Non;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
39;Marrié(e);9;33;$25 - $49;16,3;Standard;Bac +2;1;Non;Moins de 2;Très insatisfait;Homme;4;Oui;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
49;Non marrié(e);29;135;$75 - $124;68,4;Luxe;Niveau Bac;14;Non;2 à 5;Très satisfait;Femme;1;Non;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
52;Non marrié(e);20;272;$75 - $124;74,9;Luxe;Inf au Bac;35;Non;6 à 10;Très satisfait;Homme;1;Oui;Oui;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
53;Marrié(e);29;41;$25 - $49;19,9;Standard;Inf au Bac;9;Non;2 à 5;Satisfait;Homme;2;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
34;Non marrié(e);10;20;Inf à $25;10;Economique;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Oui;Oui;Oui;;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non
47;Marrié(e);6;22;Inf à $25;11,4;Economique;Bac +2;7;Non;2 à 5;Satisfait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
58;Non marrié(e);2;60;$50 - $74;29,7;Standard;Bac +3/4;1;Non;Moins de 2;Très insatisfait;Homme;1;Oui;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
25;Marrié(e);0;58;$50 - $74;28,4;Standard;Bac +2;4;Non;Moins de 2;Insatistait;Femme;5;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
57;Marrié(e);28;92;$75 - $124;45,5;Luxe;Niveau Bac;25;Non;6 à 10;Très satisfait;Femme;4;Non;Oui;Oui;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
30;Marrié(e);7;21;Inf à $25;10,5;Economique;Bac +3/4;4;Non;Moins de 2;Très insatisfait;Homme;2;Non;Non;Non;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
21;Non marrié(e);0;13;Inf à $25;6,3;Economique;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;2;Non;Non;Non;Non;Dial-up;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non
24;Non marrié(e);5;24;Inf à $25;11,8;Economique;Niveau Bac;2;Non;Moins de 2;Neutre;Femme;1;Oui;Oui;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non
56;Non marrié(e);7;213;$75 - $124;81,7;Luxe;Bac +3/4;30;Non;6 à 10;Satisfait;Femme;1;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
24;Non marrié(e);2;19;Inf à $25;9,6;Economique;Niveau Bac;0;Non;Moins de 2;Neutre;Homme;1;Non;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui
41;Non marrié(e);13;59;$50 - $74;28,6;Standard;Bac +2;17;Non;6 à 10;Neutre;Homme;1;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non
57;Marrié(e);30;544;$75 - $124;82,8;Luxe;Niveau Bac;39;Non;6 à 10;Insatistait;Femme;3;Non;Oui;Oui;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
32;Non marrié(e);2;32;$25 - $49;15,7;Standard;Niveau Bac;10;Non;2 à 5;Très satisfait;Homme;6;Non;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
24;Non marrié(e);5;35;$25 - $49;17,4;Standard;Bac +3/4;0;Non;Moins de 2;Insatistait;Homme;1;Oui;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
49;Marrié(e);12;35;$25 - $49;17,3;Standard;Inf au Bac;4;Non;Moins de 2;Neutre;Homme;3;Non;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui
21;Non marrié(e);0;22;Inf à $25;11;Economique;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;2;Non;Non;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui
33;Marrié(e);12;39;$25 - $49;19,4;Standard;Niveau Bac;8;Non;2 à 5;Insatistait;Femme;5;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
56;Non marrié(e);12;134;$75 - $124;67,2;Luxe;Niveau Bac;19;Non;6 à 10;Neutre;Homme;1;Oui;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non
54;Marrié(e);16;103;$75 - $124;51,2;Luxe;Inf au Bac;28;Non;6 à 10;Insatistait;Homme;6;Oui;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui
44;Marrié(e);8;240;$75 - $124;75,2;Luxe;Bac +3/4;11;Non;2 à 5;Neutre;Femme;2;Oui;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
20;Non marrié(e);1;20;Inf à $25;9,5;Economique;Niveau Bac;0;Non;Moins de 2;Insatistait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
47;Non marrié(e);15;118;$75 - $124;59,8;Luxe;Niveau Bac;26;Non;6 à 10;Très satisfait;Homme;1;Non;Oui;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
48;Non marrié(e);15;78;$75 - $124;38;Luxe;Bac +3/4;18;Non;6 à 10;Satisfait;Femme;1;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
25;Non marrié(e);2;68;$50 - $74;33,5;Luxe;Bac +3/4;0;Non;Moins de 2;Insatistait;Femme;3;Non;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
52;Non marrié(e);13;27;$25 - $49;13,4;Economique;Inf au Bac;10;Non;2 à 5;Insatistait;Homme;1;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui
38;Marrié(e);0;19;Inf à $25;9,2;Economique;Inf au Bac;1;Non;Moins de 2;Très insatisfait;Femme;2;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
65;Marrié(e);5;20;Inf à $25;10,1;Economique;Niveau Bac;10;Oui;2 à 5;Neutre;Homme;2;Non;Non;Oui;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
28;Marrié(e);2;31;$25 - $49;15,6;Standard;Bac +2;0;Non;Moins de 2;Neutre;Homme;2;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
51;Marrié(e);28;51;$50 - $74;25,5;Standard;Niveau Bac;9;Non;2 à 5;Neutre;Homme;4;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
61;Marrié(e);34;84;$75 - $124;41,5;Luxe;Niveau Bac;18;Non;6 à 10;Neutre;Homme;2;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
46;Marrié(e);10;133;$75 - $124;66,6;Luxe;Bac +5 et +;16;Non;6 à 10;Très satisfait;Homme;3;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
43;Marrié(e);8;109;$75 - $124;54,6;Luxe;Niveau Bac;20;Non;6 à 10;Neutre;Femme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
28;Non marrié(e);7;24;Inf à $25;12,5;Economique;Bac +2;2;Non;Moins de 2;Insatistait;Homme;1;Oui;Non;Oui;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
39;Non marrié(e);6;57;$50 - $74;28,6;Standard;Bac +2;12;Non;2 à 5;Insatistait;Femme;1;Oui;Oui;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
37;Non marrié(e);16;24;Inf à $25;11,3;Economique;Bac +2;7;Non;2 à 5;Très insatisfait;Homme;2;Non;Oui;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui
59;Marrié(e);35;32;$25 - $49;15,9;Standard;Niveau Bac;0;Non;Moins de 2;Très insatisfait;Homme;2;Non;Oui;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
55;Non marrié(e);29;65;$50 - $74;31,5;Luxe;Bac +3/4;10;Non;2 à 5;Satisfait;Femme;1;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
51;Marrié(e);20;70;$50 - $74;35,6;Luxe;Bac +2;8;Non;2 à 5;Neutre;Homme;2;Non;Oui;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
48;Marrié(e);28;321;$75 - $124;65,9;Luxe;Bac +5 et +;11;Non;2 à 5;Satisfait;Homme;2;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
40;Non marrié(e);4;71;$50 - $74;35,1;Luxe;Bac +2;6;Non;2 à 5;Insatistait;Homme;3;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
28;Non marrié(e);3;35;$25 - $49;17,3;Standard;Bac +2;6;Non;2 à 5;Très satisfait;Femme;1;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
39;Marrié(e);16;85;$75 - $124;44;Luxe;Niveau Bac;21;Non;6 à 10;Très satisfait;Homme;6;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
30;Marrié(e);0;20;Inf à $25;9,7;Economique;Bac +2;3;Non;Moins de 2;Satisfait;Femme;4;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
40;Marrié(e);5;33;$25 - $49;16,4;Standard;Bac +2;15;Non;6 à 10;Très satisfait;Femme;4;Non;Non;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Oui
55;Non marrié(e);18;35;$25 - $49;17,2;Standard;Bac +3/4;2;Non;Moins de 2;Insatistait;Femme;1;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui
48;Marrié(e);0;50;$50 - $74;25,2;Standard;Niveau Bac;11;Non;2 à 5;Neutre;Femme;4;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Oui
48;Marrié(e);4;1116;$75 - $124;74,1;Luxe;Bac +3/4;22;Non;6 à 10;Très satisfait;Homme;4;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non
49;Marrié(e);19;89;$75 - $124;44,7;Luxe;Niveau Bac;25;Non;6 à 10;Très satisfait;Femme;2;Non;Oui;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
56;Non marrié(e);34;376;$75 - $124;64,9;Luxe;Inf au Bac;35;Non;6 à 10;Très satisfait;Femme;1;Non;Oui;Non;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
44;Non marrié(e);22;54;$50 - $74;27,3;Standard;Inf au Bac;21;Non;6 à 10;Neutre;Homme;1;Non;Non;Non;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
43;Non marrié(e);12;68;$50 - $74;32,9;Luxe;Niveau Bac;15;Non;6 à 10;Neutre;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
61;Marrié(e);12;117;$75 - $124;60,4;Luxe;Bac +3/4;5;Non;2 à 5;Satisfait;Femme;3;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
37;Non marrié(e);18;29;$25 - $49;14,5;Economique;Bac +5 et +;4;Non;Moins de 2;Satisfait;Homme;1;Non;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
29;Marrié(e);2;25;$25 - $49;12,5;Economique;Niveau Bac;10;Non;2 à 5;Insatistait;Homme;2;Non;Non;Non;Oui;Aucun;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non
30;Marrié(e);10;27;$25 - $49;13,1;Economique;Inf au Bac;3;Non;Moins de 2;Insatistait;Femme;4;Oui;Non;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non
48;Non marrié(e);7;129;$75 - $124;65,5;Luxe;Bac +2;20;Non;6 à 10;Très satisfait;Homme;1;Non;Non;Oui;Oui;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui
51;Marrié(e);24;140;$75 - $124;70,6;Luxe;Inf au Bac;32;Non;6 à 10;Satisfait;Homme;2;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui
40;Marrié(e);15;57;$50 - $74;29,5;Standard;Bac +3/4;12;Non;2 à 5;Neutre;Homme;2;Oui;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
66;Marrié(e);34;30;$25 - $49;15,5;Standard;Inf au Bac;4;Non;Moins de 2;Satisfait;Femme;4;Non;Oui;Oui;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
61;Marrié(e);18;23;Inf à $25;11,3;Economique;Niveau Bac;27;Oui;6 à 10;Satisfait;Homme;3;Non;Oui;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
61;Marrié(e);6;64;$50 - $74;32;Luxe;Bac +2;25;Non;6 à 10;Très satisfait;Femme;2;Non;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non
32;Marrié(e);10;26;$25 - $49;12,2;Economique;Bac +2;5;Non;2 à 5;Satisfait;Homme;6;Oui;Oui;Non;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Non
25;Non marrié(e);6;27;$25 - $49;13,4;Economique;Niveau Bac;1;Non;Moins de 2;Très insatisfait;Homme;1;Oui;Oui;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
47;Non marrié(e);1;28;$25 - $49;13,7;Economique;Bac +2;8;Non;2 à 5;Neutre;Homme;5;Oui;Oui;Oui;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
59;Marrié(e);18;209;$75 - $124;76,8;Luxe;Niveau Bac;22;Non;6 à 10;Très satisfait;Femme;2;Oui;Oui;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui
25;Marrié(e);5;27;$25 - $49;13,8;Economique;Niveau Bac;2;Non;Moins de 2;Très insatisfait;Femme;3;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
63;Marrié(e);31;478;$75 - $124;73;Luxe;Inf au Bac;45;Non;6 à 10;Satisfait;Homme;2;Non;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
41;Non marrié(e);8;49;$25 - $49;23,9;Standard;Bac +3/4;14;Non;2 à 5;Insatistait;Homme;2;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non
66;Non marrié(e);24;30;$25 - $49;14,3;Economique;Niveau Bac;1;Non;Moins de 2;Insatistait;Homme;1;Non;Non;Oui;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
20;Non marrié(e);1;36;$25 - $49;17,5;Standard;Bac +2;0;Non;Moins de 2;Insatistait;Homme;1;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non
47;Marrié(e);21;62;$50 - $74;31,2;Luxe;Bac +2;5;Non;2 à 5;Neutre;Homme;3;Non;Non;Oui;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
42;Non marrié(e);9;49;$25 - $49;24,5;Standard;Inf au Bac;12;Non;2 à 5;Neutre;Femme;3;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
35;Marrié(e);5;49;$25 - $49;24,3;Standard;Bac +3/4;9;Non;2 à 5;Satisfait;Femme;4;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Non
24;Non marrié(e);2;23;Inf à $25;11,9;Economique;Bac +3/4;1;Non;Moins de 2;Neutre;Homme;1;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
22;Non marrié(e);3;23;Inf à $25;11,5;Economique;Bac +3/4;0;Non;Moins de 2;Neutre;Femme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
32;Marrié(e);12;59;$50 - $74;29,8;Standard;Bac +5 et +;5;Non;2 à 5;Insatistait;Homme;4;Oui;Oui;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;Non
50;Marrié(e);20;58;$50 - $74;29,2;Standard;Inf au Bac;8;Non;2 à 5;Très satisfait;Homme;2;Non;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
44;Marrié(e);8;46;$25 - $49;23,2;Standard;Inf au Bac;18;Non;6 à 10;Satisfait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
32;Non marrié(e);12;31;$25 - $49;15,4;Standard;Bac +3/4;1;Non;Moins de 2;Très insatisfait;Homme;2;Oui;Oui;Non;Non;;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
65;Non marrié(e);43;40;$25 - $49;20,9;Standard;Inf au Bac;10;Non;2 à 5;Satisfait;Femme;1;Non;Non;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
47;Marrié(e);21;181;$75 - $124;90,4;Luxe;Niveau Bac;21;Non;6 à 10;Satisfait;Femme;2;Oui;Oui;Oui;Oui;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non
42;Non marrié(e);5;53;$50 - $74;25,4;Standard;Bac +3/4;6;Non;2 à 5;Insatistait;Femme;1;Non;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
48;Non marrié(e);29;144;$75 - $124;72,7;Luxe;Niveau Bac;14;Non;2 à 5;Insatistait;Femme;1;Non;Oui;Oui;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
29;Non marrié(e);4;22;Inf à $25;10,9;Economique;Bac +3/4;0;Non;Moins de 2;Insatistait;Homme;1;Non;Oui;Oui;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non
36;Non marrié(e);3;43;$25 - $49;20,2;Standard;Niveau Bac;0;Non;Moins de 2;Très insatisfait;Homme;2;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
34;Non marrié(e);15;23;Inf à $25;11,4;Economique;Niveau Bac;4;Non;Moins de 2;Satisfait;Femme;1;Oui;Non;Non;Non;Dial-up;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non
41;Non marrié(e);22;68;$50 - $74;34,3;Luxe;Bac +3/4;0;Non;Moins de 2;Très insatisfait;Femme;2;Oui;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
26;Non marrié(e);6;41;$25 - $49;20,9;Standard;Niveau Bac;0;Non;Moins de 2;Très insatisfait;Homme;3;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
25;Non marrié(e);6;23;Inf à $25;11,5;Economique;Bac +3/4;0;Non;Moins de 2;Très insatisfait;Homme;2;Non;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
53;Non marrié(e);23;145;$75 - $124;70,9;Luxe;Niveau Bac;29;Non;6 à 10;Très satisfait;Homme;1;Oui;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Oui
